Match_no,Date,Venue,Team1,Team2,Winner,Scorecard URL
17,19-Oct,Pune,India , Bangladesh,India,https://www.cricketwa.com/scorecard/23022/india-vs-bangladesh-17th-match-odi-cricket-world-cup-2023.aspx
18,20-Oct,Bengaluru,Australia , Pakistan,Australia,https://www.cricketwa.com/scorecard/23023/australia-vs-pakistan-18th-match-odi-cricket-world-cup-2023.aspx
19,21-Oct,Ekana Cricket Stadium Lucknow,Netherlands , Sri Lanka,Sri Lanka,https://www.cricketwa.com/scorecard/23024/sri-lanka-vs-netherlands-19th-match-odi-cricket-world-cup-2023.aspx
20,21-Oct,Mumbai,England , South Africa,South Africa,https://www.cricketwa.com/scorecard/23025/england-vs-south-africa-20th-match-odi-cricket-world-cup-2023.aspx
21,22-Oct,"Himachal Pradesh Cricket Association Stadium, Dharamsala",India , New Zealand,India,https://www.cricketwa.com/scorecard/23026/india-vs-new-zealand-21st-match-odi-cricket-world-cup-2023.aspx
22,23-Oct,Chennai,Pakistan , Afghanistan,Afghanistan,https://www.cricketwa.com/scorecard/23027/pakistan-vs-afghanistan-22nd-match-odi-cricket-world-cup-2023.aspx
23,24-Oct,Mumbai,South Africa , Bangladesh,South Africa,https://www.cricketwa.com/scorecard/23028/south-africa-vs-bangladesh-23rd-match-odi-cricket-world-cup-2023.aspx
24,25-Oct,Delhi,Australia , Netherlands,Australia,https://www.cricketwa.com/scorecard/23029/australia-vs-netherlands-24th-match-odi-cricket-world-cup-2023.aspx
25,26-Oct,Bengaluru,England , Sri Lanka,Sri Lanka,https://www.cricketwa.com/scorecard/23030/england-vs-sri-lanka-25th-match-odi-cricket-world-cup-2023.aspx
26,27-Oct,Chennai,Pakistan , South Africa,South Africa,https://www.cricketwa.com/scorecard/23031/pakistan-vs-south-africa-26th-match-odi-cricket-world-cup-2023.aspx
27,28-Oct,Dharamsala,Australia , New Zealand,Australia,https://www.cricketwa.com/scorecard/23032/australia-vs-new-zealand-27th-match-odi-cricket-world-cup-2023.aspx
28,28-Oct,Kolkata,Netherlands , Bangladesh,Netherlands,https://www.cricketwa.com/scorecard/23033/bangladesh-vs-netherlands-28th-match-odi-cricket-world-cup-2023.aspx
29,29-Oct,Ekana Cricket Stadium Lucknow,India , England,India,https://www.cricketwa.com/scorecard/23034/india-vs-england-29th-match-odi-cricket-world-cup-2023.aspx
30,30-Oct,Pune,Afghanistan , Sri Lanka,Afghanistan,https://www.cricketwa.com/scorecard/23035/afghanistan-vs-sri-lanka-30th-match-odi-cricket-world-cup-2023.aspx
31,31-Oct,Kolkata,Pakistan , Bangladesh,Pakistan,https://www.cricketwa.com/scorecard/23036/pakistan-vs-bangladesh-31st-match-odi-cricket-world-cup-2023.aspx
32,1-Nov,Pune,New Zealand , South Africa,South Africa,https://www.cricketwa.com/scorecard/23037/new-zealand-vs-south-africa-32nd-match-odi-cricket-world-cup-2023.aspx
33,2-Nov,Mumbai,India , Sri Lanka,Sri Lanka,https://www.cricketwa.com/scorecard/23038/india-vs-sri-lanka-33th-match-odi-cricket-world-cup-2023.aspx
34,3-Nov,Ekana Cricket Stadium Lucknow,Netherlands , Afghanistan,Afghanistan,https://www.cricketwa.com/scorecard/23039/netherlands-vs-afghanistan-34th-match-odi-cricket-world-cup-2023.aspx
35,4-Nov,Bengaluru,New Zealand , Pakistan,Pakistan,https://www.cricketwa.com/scorecard/23040/new-zealand-vs-pakistan-35th-match-odi-cricket-world-cup-2023.aspx
36,4-Nov,Ahmedabad,England , Australia,Australia,https://www.cricketwa.com/scorecard/23041/england-vs-australia-36th-match-odi-cricket-world-cup-2023.aspx
37,5-Nov,Kolkata,India , South Africa,India,https://www.cricketwa.com/scorecard/23042/india-vs-south-africa-37th-match-odi-cricket-world-cup-2023.aspx
38,6-Nov,Delhi,Bangladesh , Sri Lanka,Bangladesh,https://www.cricketwa.com/scorecard/23043/bangladesh-vs-sri-lanka-38th-match-odi-cricket-world-cup-2023.aspx
39,7-Nov,Mumbai,Australia , Afghanistan,Australia,https://www.cricketwa.com/scorecard/23044/australia-vs-afghanistan-39th-match-odi-cricket-world-cup-2023.aspx
40,8-Nov,Pune,England , Netherlands,England,https://www.cricketwa.com/scorecard/23045/england-vs-netherlands-40th-match-odi-cricket-world-cup-2023.aspx
41,9-Nov,Bengaluru,New Zealand , Sri Lanka,New Zealand,https://www.cricketwa.com/scorecard/23046/new-zealand-vs-sri-lanka-41st-match-odi-cricket-world-cup-2023.aspx
42,10-Nov,Ahmedabad,South Africa , Afghanistan,South Africa,https://www.cricketwa.com/scorecard/23047/south-africa-vs-afghanistan-42nd-match-odi-cricket-world-cup-2023.aspx
43,11-Nov,Pune,Australia , Bangladesh,Australia,https://www.cricketwa.com/scorecard/23049/australia-vs-bangladesh-43rd-match-odi-cricket-world-cup-2023.aspx
44,11-Nov,Kolkata,England , Pakistan,England,https://www.cricketwa.com/scorecard/23050/england-vs-pakistan-44th-match-odi-cricket-world-cup-2023.aspx
45,12-Nov,Bengaluru,India , Netherlands,India,https://www.cricketwa.com/scorecard/23048/india-vs-netherlands-45th-match-odi-cricket-world-cup-2023.aspx
46,15-Nov,Mumbai,India ,New Zealand,India,https://www.cricketwa.com/scorecard/23051/india-vs-new-zealand-1st-semi-final-match-cricket-world-cup-2023.aspx
47,16-Nov,Kolkata,Australia , South Africa,Australia,https://www.cricketwa.com/scorecard/23052/australia-vs-south-africa-2nd-semi-match-cricket-world-cup-2023.aspx
48,19-Nov,Ahmedabad,India,Australia,Australia,https://www.cricketwa.com/scorecard/23053/india-vs-australia-final-match-cricket-world-cup-2023.aspx
